id,loinc_num,long_common_name,component,system,property,click_Aida,click_Cesar,click_Gabriel,sum_clicks,id,clicks_component_avarage,clicks_component_count
0,1988-5,glucose in blood,C reactive protein,Ser/Plas,MCnc,,,,0,0,,
1,1959-6,Bicarbonate [Moles/volume] in Blood,Bicarbonate,Bld,SCnc,,,,0,1,,
2,10331-7,Rh [Type] in Blood,Rh,Bld,Type,,,,0,2,,
3,18998-5,Trimethoprim+Sulfamethoxazole [Susceptibility],Trimethoprim+Sulfamethoxazole,Isolate,Susc,,,,0,3,,
4,1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Bilirubin,Ser/Plas,MCnc,,,,0,4,,
5,890-4,Blood group antibody screen [Presence] in Serum or Plasma,Blood group antibody screen,Ser/Plas,ACnc,,,,0,5,,
6,20565-8,"Carbon dioxide, total [Moles/volume] in Blood",Carbon dioxide,Bld,SCnc,,1,,1,6,,
7,18906-8,Ciprofloxacin [Susceptibility],Ciprofloxacin,Isolate,Susc,,,,0,7,,
8,2143-6,Cortisol [Mass/volume] in Serum or Plasma,Cortisol,Ser/Plas,MCnc,,,,0,8,,
9,2075-0,Chloride [Moles/volume] in Serum or Plasma,Chloride,Ser/Plas,SCnc,,,,0,9,,
10,4671-4,Protein C [Mass/volume] in Plasma,Protein C,Plas,MCnc,,,,0,10,,
11,18864-9,Ampicillin [Susceptibility],Ampicillin,Isolate,Susc,,,,0,11,,
12,15076-3,Glucose [Moles/volume] in Urine,Glucose,Urine,SCnc,1,1,1,3,12,,
13,1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,Amylase,Ser/Plas,CCnc,,1,,1,13,,
14,26474-7,Lymphocytes [#/volume] in Blood,Lymphocytes,Bld,NCnc,,,,0,14,,
15,1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Aspartate aminotransferase,Ser/Plas,CCnc,,,,0,15,,
16,13317-3,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture,Staphylococcus aureus.methicillin resistant isolate,XXX,ACnc,,,,0,16,,
17,925-8,Blood product disposition [Type],Blood product disposition,^BPU,Type,,,,0,17,,
18,14749-6,Glucose [Moles/volume] in Serum or Plasma,Glucose,Ser/Plas,SCnc,1,1,1,3,18,,
19,14747-0,Glucose [Moles/volume] in Pleural fluid,Glucose,Plr fld,SCnc,1,,1,2,19,,
20,2093-3,Cholesterol [Mass/volume] in Serum or Plasma,Cholesterol,Ser/Plas,MCnc,,,,0,20,,
21,1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,Bilirubin.glucuronidated+Bilirubin.albumin bound,Ser/Plas,MCnc,,,,0,21,,
22,26464-8,Leukocytes [#/volume] in Blood,Leukocytes,Bld,NCnc,,,,0,22,,
23,74774-1,"Glucose [Mass/volume] in Serum, Plasma or Blood",Glucose,Ser/Plas/Bld,MCnc,1,1,1,3,23,,
24,8310-5,Body temperature,Body temperature,^Patient,Temp,,,,0,24,,
25,934-0,Blood product unit ID [#],Blood product unit ID,Dose,Num,,,,0,25,,
26,14423-8,Bilirubin.total [Mass/volume] in Synovial fluid,Bilirubin,Synv fld,MCnc,,,,0,26,,
27,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Alanine aminotransferase,Ser/Plas,CCnc,,,,0,27,,
28,14764-5,Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO,Glucose^3H post 100 g glucose PO,Ser/Plas,SCnc,1,1,1,3,28,,
29,1994-3,Calcium.ionized [Moles/volume] in Blood,Calcium.ionized,Bld,SCnc,,,,0,29,,
30,1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin,Ser/Plas,MCnc,,1,,1,30,,
31,1003-3,Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma,Indirect antiglobulin test.complement specific reagent,Ser/Plas,ACnc,,,,0,31,,
32,1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,Bilirubin.non-glucuronidated,Ser/Plas,MCnc,,,,0,32,,
33,26484-6,Monocytes [#/volume] in Blood,Monocytes,Bld,NCnc,,,,0,33,,
34,18865-6,Ampicillin+Sulbactam [Susceptibility],Ampicillin+Sulbactam,Isolate,Susc,,,,0,34,,
